,geo_code,geo_label,nearest_main_bua,nearest_sub_bua
26322,E01000056,Barking and Dagenham 018C,77.0,41.0
26323,E01000057,Barking and Dagenham 012A,68.0,34.0
26324,E01000054,Barking and Dagenham 018A,72.0,38.0
26325,E01000055,Barking and Dagenham 018B,72.0,36.0
26326,E01000052,Barking and Dagenham 019D,86.0,18.0
26327,E01000053,Barking and Dagenham 020A,80.0,40.0
26328,E01000050,Barking and Dagenham 019C,83.0,14.0
26329,E01000051,Barking and Dagenham 021D,82.0,12.0
26330,E01000058,Barking and Dagenham 018D,72.0,37.0
26331,E01000059,Barking and Dagenham 013C,76.0,42.0
26332,E01002006,Haringey 035B,25.0,25.0
26333,E01002087,Haringey 019D,43.0,14.0
26334,E01002007,Haringey 035C,19.0,19.0
26335,E01002086,Haringey 013B,50.0,22.0
26336,E01002004,Haringey 023D,43.0,15.0
26337,E01002085,Haringey 019C,39.0,9.0
26338,E01002005,Haringey 035A,21.0,21.0
26339,E01002084,Haringey 019B,46.0,17.0
26340,E01002002,Haringey 031C,43.0,18.0
26341,E01002083,Haringey 019A,43.0,14.0
26342,E01002082,Haringey 013A,52.0,19.0
26343,E01004006,Southwark 023E,67.0,28.0
26344,E01004087,Sutton 017A,88.0,36.0
26345,E01002000,Haringey 031A,46.0,18.0
26346,E01002081,Haringey 012D,52.0,16.0
26347,E01004007,Southwark 018E,71.0,29.0
26348,E01004086,Sutton 019B,76.0,25.0
26349,E01002001,Haringey 031B,43.0,19.0
26350,E01002080,Haringey 015D,54.0,17.0
26351,E01004004,Southwark 023C,64.0,24.0
26352,E01004085,Sutton 024B,84.0,36.0
26353,E01004005,Southwark 023D,65.0,25.0
26354,E01004084,Sutton 024A,85.0,39.0
26355,E01004002,Southwark 029A,63.0,24.0
26356,E01000934,Camden 020D,55.0,27.0
26357,E01000935,Camden 020E,53.0,28.0
26358,E01000932,Camden 013D,51.0,29.0
26359,E01000933,Camden 020C,50.0,30.0
26360,E01000930,Camden 020B,47.0,28.0
26361,E01000931,Camden 013C,53.0,30.0
26362,E01000938,Camden 024B,49.0,17.0
26363,E01000939,Camden 024C,47.0,15.0
