,geo_code,geo_label,gp_number_15,gp_number_30,gp_number_45,gp_number_60,gp_number_75,gp_number_90,gp_number_105,gp_number_120,gp_pct_15,gp_pct_30,gp_pct_45,gp_pct_60,gp_pct_75,gp_pct_90,gp_pct_105,gp_pct_120,nearest_gp
26322,E01000056,Barking and Dagenham 018C,3,20,104,231,515,800,1174,1477,0.038,0.2536,1.3186,2.9289,6.5297,10.1433,14.8853,18.727,6.0
26323,E01000057,Barking and Dagenham 012A,7,49,175,390,685,1004,1384,1607,0.0888,0.6213,2.2188,4.9448,8.6852,12.7298,17.5479,20.3753,8.0
26324,E01000054,Barking and Dagenham 018A,3,33,148,331,604,905,1291,1551,0.038,0.4184,1.8765,4.1968,7.6582,11.4746,16.3687,19.6653,0.0
26325,E01000055,Barking and Dagenham 018B,3,34,149,331,604,905,1291,1551,0.038,0.4311,1.8892,4.1968,7.6582,11.4746,16.3687,19.6653,6.0
26326,E01000052,Barking and Dagenham 019D,5,29,80,195,371,612,898,1200,0.0634,0.3677,1.0143,2.4724,4.7039,7.7596,11.3858,15.2149,0.0
26327,E01000053,Barking and Dagenham 020A,6,18,76,189,425,725,1039,1382,0.0761,0.2282,0.9636,2.3963,5.3886,9.1923,13.1736,17.5225,11.0
26328,E01000050,Barking and Dagenham 019C,9,30,98,210,417,700,1016,1327,0.1141,0.3804,1.2426,2.6626,5.2872,8.8754,12.882,16.8252,7.0
26329,E01000051,Barking and Dagenham 021D,9,32,97,216,430,716,1042,1352,0.1141,0.4057,1.2299,2.7387,5.452,9.0782,13.2116,17.1421,6.0
26330,E01000058,Barking and Dagenham 018D,6,37,147,321,585,891,1269,1544,0.0761,0.4691,1.8638,4.07,7.4173,11.2971,16.0898,19.5765,6.0
26331,E01000059,Barking and Dagenham 013C,3,21,94,214,464,756,1076,1417,0.038,0.2663,1.1918,2.7133,5.8831,9.5854,13.6427,17.9663,6.0
26332,E01002006,Haringey 035B,3,32,128,353,668,1006,1400,1666,0.038,0.4057,1.6229,4.4757,8.4696,12.7552,17.7507,21.1234,11.0
26333,E01002087,Haringey 019D,7,54,231,488,867,1282,1588,1829,0.0888,0.6847,2.9289,6.1874,10.9928,16.2546,20.1344,23.1901,5.0
26334,E01002007,Haringey 035C,1,31,121,344,635,962,1316,1601,0.0127,0.3931,1.5342,4.3616,8.0512,12.1973,16.6857,20.2992,15.0
26335,E01002086,Haringey 013B,6,30,162,390,721,1149,1519,1754,0.0761,0.3804,2.054,4.9448,9.1416,14.5683,19.2595,22.2391,7.0
26336,E01002004,Haringey 023D,5,48,220,478,856,1264,1588,1798,0.0634,0.6086,2.7894,6.0606,10.8533,16.0264,20.1344,22.797,5.0
26337,E01002085,Haringey 019C,10,98,303,592,977,1378,1634,1880,0.1268,1.2426,3.8418,7.506,12.3875,17.4718,20.7176,23.8367,0.0
26338,E01002005,Haringey 035A,2,33,146,377,693,1037,1417,1668,0.0254,0.4184,1.8511,4.78,8.7866,13.1482,17.9663,21.1487,14.0
26339,E01002084,Haringey 019B,6,42,193,433,778,1203,1547,1781,0.0761,0.5325,2.4471,5.49,9.8643,15.2529,19.6146,22.5815,9.0
26340,E01002002,Haringey 031C,4,71,247,558,956,1361,1657,1867,0.0507,0.9002,3.1317,7.0749,12.1212,17.2562,21.0093,23.6719,0.0
26341,E01002083,Haringey 019A,3,56,227,473,851,1250,1561,1806,0.038,0.71,2.8782,5.9972,10.7899,15.8489,19.7921,22.8984,9.0
26342,E01002082,Haringey 013A,2,27,147,317,593,949,1325,1614,0.0254,0.3423,1.8638,4.0193,7.5187,12.0325,16.7998,20.4641,0.0
26343,E01004006,Southwark 023E,4,47,260,616,1025,1323,1566,1758,0.0507,0.5959,3.2966,7.8103,12.9961,16.7744,19.8555,22.2898,11.0
26344,E01004087,Sutton 017A,2,7,28,88,225,483,842,1139,0.0254,0.0888,0.355,1.1158,2.8528,6.124,10.6758,14.4415,15.0
26345,E01002000,Haringey 031A,4,49,217,474,829,1217,1567,1771,0.0507,0.6213,2.7514,6.0099,10.511,15.4305,19.8681,22.4547,4.0
26346,E01002081,Haringey 012D,6,87,304,609,1058,1441,1707,1938,0.0761,1.1031,3.8544,7.7216,13.4145,18.2706,21.6432,24.5721,6.0
26347,E01004007,Southwark 018E,6,47,165,497,893,1279,1551,1789,0.0761,0.5959,2.0921,6.3015,11.3224,16.2166,19.6653,22.6829,6.0
26348,E01004086,Sutton 019B,2,12,47,141,395,711,1015,1290,0.0254,0.1521,0.5959,1.7878,5.0082,9.0148,12.8693,16.356,0.0
26349,E01002001,Haringey 031B,5,75,269,569,941,1326,1640,1831,0.0634,0.9509,3.4107,7.2144,11.931,16.8125,20.7937,23.2154,7.0
