,geo_code,geo_label,school_primary_15,school_primary_30,school_primary_45,school_primary_60,school_primary_75,school_primary_90,school_primary_105,school_primary_120,school_secondary_15,school_secondary_30,school_secondary_45,school_secondary_60,school_secondary_75,school_secondary_90,school_secondary_105,school_secondary_120,school_pct_primary_15,school_pct_primary_30,school_pct_primary_45,school_pct_primary_60,school_pct_primary_75,school_pct_primary_90,school_pct_primary_105,school_pct_primary_120,school_pct_secondary_15,school_pct_secondary_30,school_pct_secondary_45,school_pct_secondary_60,school_pct_secondary_75,school_pct_secondary_90,school_pct_secondary_105,school_pct_secondary_120,nearest_primary,nearest_secondary
26322,E01000056,Barking and Dagenham 018C,6,21,144,345,750,1164,1704,2247,0,6,39,93,188,280,417,537,0.0302,0.1058,0.7253,1.7378,3.7778,5.8631,8.5831,11.3182,0.0,0.1736,1.1281,2.6902,5.4382,8.0995,12.0625,15.5337,5.0,18.0
26323,E01000057,Barking and Dagenham 012A,4,65,254,553,1008,1477,2064,2544,1,18,68,144,237,354,503,607,0.0201,0.3274,1.2794,2.7855,5.0773,7.4397,10.3964,12.8142,0.0289,0.5207,1.967,4.1655,6.8557,10.2401,14.5502,17.5586,8.0,15.0
26324,E01000054,Barking and Dagenham 018A,3,37,207,447,875,1341,1909,2432,0,12,58,121,208,329,468,577,0.0151,0.1864,1.0427,2.2515,4.4074,6.7546,9.6157,12.25,0.0,0.3471,1.6778,3.5001,6.0168,9.5169,13.5377,16.6908,0.0,19.0
26325,E01000055,Barking and Dagenham 018B,3,40,207,447,875,1340,1909,2431,1,10,58,121,208,329,468,577,0.0151,0.2015,1.0427,2.2515,4.4074,6.7496,9.6157,12.245,0.0289,0.2893,1.6778,3.5001,6.0168,9.5169,13.5377,16.6908,6.0,13.0
26326,E01000052,Barking and Dagenham 019D,8,34,109,257,542,889,1332,1798,2,9,29,75,148,211,319,440,0.0403,0.1713,0.549,1.2945,2.7301,4.4779,6.7093,9.0566,0.0579,0.2603,0.8389,2.1695,4.2812,6.1036,9.2277,12.7278,8.0,7.0
26327,E01000053,Barking and Dagenham 020A,8,21,93,287,594,1060,1528,2059,1,6,25,79,159,247,368,502,0.0403,0.1058,0.4684,1.4456,2.992,5.3392,7.6966,10.3712,0.0289,0.1736,0.7232,2.2852,4.5994,7.1449,10.6451,14.5213,0.0,12.0
26328,E01000050,Barking and Dagenham 019C,9,38,130,289,599,1010,1499,2002,1,8,33,87,163,247,353,491,0.0453,0.1914,0.6548,1.4557,3.0172,5.0874,7.5505,10.0841,0.0289,0.2314,0.9546,2.5166,4.7151,7.1449,10.2112,14.2031,8.0,0.0
26329,E01000051,Barking and Dagenham 021D,9,40,132,303,626,1032,1534,2048,1,8,33,89,168,249,362,497,0.0453,0.2015,0.6649,1.5262,3.1532,5.1982,7.7268,10.3158,0.0289,0.2314,0.9546,2.5745,4.8597,7.2028,10.4715,14.3766,7.0,4.0
26330,E01000058,Barking and Dagenham 018D,8,41,201,426,855,1308,1878,2403,0,12,58,118,204,318,459,572,0.0403,0.2065,1.0124,2.1458,4.3067,6.5884,9.4595,12.104,0.0,0.3471,1.6778,3.4134,5.9011,9.1987,13.2774,16.5461,6.0,18.0
26331,E01000059,Barking and Dagenham 013C,8,27,116,306,657,1093,1575,2122,0,8,29,86,172,258,382,513,0.0403,0.136,0.5843,1.5413,3.3093,5.5055,7.9333,10.6886,0.0,0.2314,0.8389,2.4877,4.9754,7.4631,11.05,14.8395,0.0,16.0
26332,E01002006,Haringey 035B,4,46,180,485,930,1512,2182,2731,2,15,43,113,229,386,516,637,0.0201,0.2317,0.9067,2.443,4.6844,7.616,10.9908,13.7561,0.0579,0.4339,1.2439,3.2687,6.6242,11.1658,14.9262,18.4264,7.0,11.0
26333,E01002087,Haringey 019D,13,92,324,702,1263,1958,2561,3133,2,20,86,171,316,473,605,723,0.0655,0.4634,1.632,3.536,6.3618,9.8625,12.8998,15.781,0.0579,0.5785,2.4877,4.9465,9.1409,13.6824,17.5007,20.9141,4.0,6.0
