,geo_code,geo_label,supermarket_15,supermarket_30,supermarket_45,supermarket_60,supermarket_75,supermarket_90,supermarket_105,supermarket_120,supermarket_pct_15,supermarket_pct_30,supermarket_pct_45,supermarket_pct_60,supermarket_pct_75,supermarket_pct_90,supermarket_pct_105,supermarket_pct_120,nearest_supermarket
26322,E01000056,Barking and Dagenham 018C,0,6,38,103,240,390,604,777,0.0,0.0926,0.5866,1.59,3.7048,6.0204,9.3239,11.9944,16.0
26323,E01000057,Barking and Dagenham 012A,0,13,68,178,329,506,709,882,0.0,0.2007,1.0497,2.7478,5.0787,7.8111,10.9447,13.6153,16.0
26324,E01000054,Barking and Dagenham 018A,0,9,59,147,279,455,668,842,0.0,0.1389,0.9108,2.2692,4.3069,7.0238,10.3118,12.9978,16.0
26325,E01000055,Barking and Dagenham 018B,2,9,59,147,279,455,668,842,0.0309,0.1389,0.9108,2.2692,4.3069,7.0238,10.3118,12.9978,11.0
26326,E01000052,Barking and Dagenham 019D,3,16,30,80,163,280,461,626,0.0463,0.247,0.4631,1.2349,2.5162,4.3223,7.1164,9.6635,10.0
26327,E01000053,Barking and Dagenham 020A,0,5,34,77,190,346,521,713,0.0,0.0772,0.5249,1.1886,2.933,5.3412,8.0426,11.0065,17.0
26328,E01000050,Barking and Dagenham 019C,4,13,38,93,188,329,518,697,0.0617,0.2007,0.5866,1.4356,2.9021,5.0787,7.9963,10.7595,8.0
26329,E01000051,Barking and Dagenham 021D,4,14,39,94,198,345,537,709,0.0617,0.2161,0.602,1.4511,3.0565,5.3257,8.2896,10.9447,7.0
26330,E01000058,Barking and Dagenham 018D,1,10,57,144,271,449,655,835,0.0154,0.1544,0.8799,2.2229,4.1834,6.9312,10.1111,12.8898,14.0
26331,E01000059,Barking and Dagenham 013C,1,8,40,89,211,357,535,736,0.0154,0.1235,0.6175,1.3739,3.2572,5.511,8.2587,11.3615,12.0
26332,E01002006,Haringey 035B,3,26,67,148,302,518,745,942,0.0463,0.4014,1.0343,2.2847,4.6619,7.9963,11.5005,14.5415,11.0
26333,E01002087,Haringey 019D,5,36,109,223,426,671,892,1095,0.0772,0.5557,1.6826,3.4424,6.5761,10.3581,13.7697,16.9034,6.0
26334,E01002007,Haringey 035C,2,18,65,143,279,476,693,895,0.0309,0.2779,1.0034,2.2075,4.3069,7.3479,10.6977,13.816,13.0
26335,E01002086,Haringey 013B,1,23,74,169,341,609,850,1025,0.0154,0.355,1.1423,2.6088,5.264,9.401,13.1213,15.8228,6.0
26336,E01002004,Haringey 023D,6,32,101,212,430,655,889,1064,0.0926,0.494,1.5591,3.2726,6.6379,10.1111,13.7234,16.4248,10.0
26337,E01002085,Haringey 019C,5,50,132,272,497,737,925,1156,0.0772,0.7718,2.0377,4.1988,7.6721,11.377,14.2791,17.845,7.0
26338,E01002005,Haringey 035A,5,24,71,155,307,528,757,948,0.0772,0.3705,1.096,2.3927,4.7391,8.1507,11.6857,14.6341,11.0
26339,E01002084,Haringey 019B,4,29,89,200,383,633,859,1056,0.0617,0.4477,1.3739,3.0874,5.9123,9.7715,13.2603,16.3013,0.0
26340,E01002002,Haringey 031C,3,41,113,240,479,704,937,1134,0.0463,0.6329,1.7444,3.7048,7.3943,10.8676,14.4643,17.5054,0.0
26341,E01002083,Haringey 019A,5,35,109,216,416,654,875,1076,0.0772,0.5403,1.6826,3.3344,6.4217,10.0957,13.5073,16.6101,7.0
26342,E01002082,Haringey 013A,0,14,70,140,264,476,704,912,0.0,0.2161,1.0806,2.1612,4.0753,7.3479,10.8676,14.0784,18.0
26343,E01004006,Southwark 023E,6,34,129,310,520,691,858,1024,0.0926,0.5249,1.9914,4.7854,8.0272,10.6669,13.2448,15.8073,11.0
26344,E01004087,Sutton 017A,1,4,20,54,163,289,468,628,0.0154,0.0617,0.3087,0.8336,2.5162,4.4613,7.2245,9.6944,15.0
