LAD11NM,employment_15,gp_number_15,nearest_gp,hospitals_15,nearest_hosp,school_primary_15,school_secondary_15,nearest_primary,nearest_secondary,supermarket_15,nearest_supermarket
Islington,50582.72358,7.674796748,5.62601626,0.308943089,18.17073171,9.739837398,1.837398374,4.081300813,9.138211382,4.479674797,7.495934959
City of London,556820.8333,3.166666667,10.16666667,2.666666667,9.5,7,1,7,11.66666667,4,7
Camden,87368.98496,6.578947368,5.744360902,1.721804511,12.51879699,7.165413534,1.654135338,5.172932331,10.92481203,3.939849624,8.255639098
Southwark,41753.43373,5.13253012,6.765060241,0.620481928,16.40963855,10.24096386,2.789156627,3.891566265,8.728915663,3.512048193,8.451807229
Haringey,9203.586207,4.779310345,6.924137931,0.55862069,15.79310345,8.020689655,1.434482759,4.703448276,11.06206897,3.027586207,9.282758621
Lewisham,6871.627219,3.331360947,8.384615385,0.360946746,21.39053254,6.171597633,1.213017751,5.130177515,12.23668639,2.792899408,9.532544379
Lambeth,18849.80337,5.640449438,6.488764045,0.325842697,22.45505618,7.292134831,1.91011236,4.915730337,9.893258427,2.674157303,8.814606742
Hammersmith and Fulham,25971.50442,6.327433628,5.814159292,0.530973451,15.77876106,6.85840708,2.079646018,4.610619469,9.230088496,2.654867257,9.088495575
Westminster,109067.7734,8.9921875,4.8984375,2.703125,11.015625,8.8359375,2.1328125,4.53125,9.859375,2.4609375,9.2265625
Merton,8068.508065,2.451612903,8.048387097,0.096774194,22.21774194,4.024193548,0.830645161,6.14516129,13.38709677,2.241935484,9.725806452
Tower Hamlets,64663.85417,5.277777778,5.243055556,1.006944444,17.61111111,10.90277778,2.861111111,3.298611111,8.5625,2.138888889,9.083333333
Hackney,24699.93056,7.625,5.034722222,0.666666667,17.27777778,10.33333333,2.763888889,3.729166667,8.861111111,2.104166667,11.23611111
Newham,11132.10366,6.548780488,6.512195122,0.475609756,18.04268293,7.884146341,2.085365854,3.829268293,8.780487805,2.012195122,10.75
Greenwich,6447.781457,2.688741722,9.377483444,0.377483444,20.35099338,4.814569536,0.814569536,5.19205298,13.38410596,1.940397351,10.55629139
Wandsworth,10260.58659,3.837988827,6.927374302,0.363128492,18.11173184,5.463687151,0.972067039,5.223463687,12.22905028,1.860335196,11.37988827
Waltham Forest,7396.701389,4.284722222,6.569444444,0.111111111,24.64583333,5.291666667,1.618055556,5.5,9.944444444,1.840277778,10.67361111
Kensington and Chelsea,37514.46602,7.941747573,4.844660194,1.058252427,13.59223301,6.834951456,1.262135922,4.922330097,10.21359223,1.757281553,10.88349515
Ealing,7017.321429,4.433673469,6.280612245,0.168367347,23.35714286,3.423469388,0.969387755,6.367346939,13.06632653,1.678571429,12.15816327
Sutton,5850.247934,1.983471074,9.983471074,0.181818182,22.47933884,2.94214876,0.694214876,7.73553719,15.90082645,1.595041322,11.0661157
Croydon,6372.090909,2.986363636,9.495454545,0.190909091,23.25454545,3.540909091,0.659090909,6.940909091,15.94545455,1.581818182,11.01363636
Brent,8871.589595,3.959537572,7.410404624,0.225433526,20.82080925,4.786127168,1.028901734,6.213872832,12.84971098,1.543352601,12.40462428
Bromley,4213.172589,1.695431472,11.41624365,0.131979695,25.95939086,2.512690355,0.299492386,7.131979695,19.5786802,1.45177665,13.10659898
Kingston upon Thames,7468.77551,1.948979592,10.26530612,0.397959184,17.81632653,3.418367347,0.755102041,7.459183673,13.73469388,1.387755102,11.58163265
Enfield,5903.087432,2.142076503,10.8021978,0.273224044,22.84065934,3.967213115,0.989071038,6.032786885,13.06010929,1.202185792,13.02197802
Barking and Dagenham,5739.363636,3.918181818,6.427272727,0.118181818,23.35454545,4.727272727,1.090909091,5.618181818,11.31818182,1.154545455,12.02727273
Barnet,5773.459716,2.535545024,8.507109005,0.289099526,19.28436019,3.616113744,0.819905213,6.312796209,13.77251185,1.137440758,12.74407583
Redbridge,5614.534161,3.142857143,8.254658385,0.273291925,24.27329193,3.440993789,0.956521739,6.99378882,12.54658385,1.074534161,12.57763975
Harrow,5560.912409,2.364963504,9.664233577,0.255474453,24.5620438,2.605839416,0.927007299,7.642335766,12.84671533,1.04379562,12.66423358
Hounslow,8643.732394,3.14084507,9.169014085,0.133802817,27.79577465,3.014084507,0.978873239,6.971830986,12.83098592,1.021126761,13.30985915
Bexley,4173.150685,1.287671233,11.45890411,0.102739726,25.04109589,3.321917808,0.51369863,6.438356164,16.44520548,1.020547945,14.33561644
Havering,3996.6,1.926666667,10.53333333,0.06,31.8,2.74,0.666666667,7.8,14.62666667,1.02,13.90666667
Richmond upon Thames,7601.869565,2.156521739,8.92173913,0.339130435,19.08695652,3.286956522,0.686956522,6.32173913,14.50434783,0.939130435,13.82608696
Hillingdon,5554.782609,1.807453416,9.857142857,0.111801242,28.44720497,2.546583851,0.720496894,7.565217391,15.74534161,0.614906832,17.1863354
